,Artist,Song
0,Olivia Rodrigo,Drivers License
1,Ariana Grande Ft. Doja Cat & Megan Thee Stallion,34+35
2,24kGoldn Featuring iann dior,Mood
3,The Weeknd,Blinding Lights
4,Ariana Grande,Positions
5,Dua Lipa Featuring DaBaby,Levitating
6,Chris Brown & Young Thug,Go Crazy
7,Justin Bieber Featuring Chance The Rapper,Holy
8,AJR,Bang!
9,SZA,Good Days
10,Pop Smoke Featuring Lil Baby & DaBaby,For The Night
11,Gabby Barrett Featuring Charlie Puth,I Hope
12,Billie Eilish,Therefore I Am
13,Justin Bieber & benny blanco,Lonely
14,Luke Combs,Better Together
15,Megan Thee Stallion,Body
16,Drake Featuring Lil Durk,Laugh Now Cry Later
17,Bad Bunny & Jhay Cortez,Dakiti
18,CJ,Whoopty
19,The Weeknd,Save Your Tears
20,Internet Money & Gunna Featuring Don Toliver & NAV,Lemonade
21,Juice WRLD & Young Thug,Bad Boy
22,Pop Smoke,What You Know Bout Love
23,Morgan Wallen,Wasted On You
24,Morgan Wallen,7 Summers
25,Justin Bieber,Anyone
26,Morgan Wallen,More Than My Hometown
27,Taylor Swift,Willow
28,Ava Max,Kings & Queens
29,Lewis Capaldi,Before You Go
30,Tate McRae,You Broke Me First.
31,Yung Bleu Featuring Drake,You're Mines Still
32,Lil Baby,On Me
33,Machine Gun Kelly X blackbear,My Ex's Best Friend
34,Chris Stapleton,Starting Over
35,Morgan Wallen,Somebody's Problem
36,DaBaby Featuring Roddy Ricch,Rockstar
37,Dan + Shay,I Should Probably Go To Bed
38,Doja Cat,Streets
39,Morgan Wallen,Sand In My Boots
40,Ed Sheeran,Afterglow
41,Niko Moon,Good Time
42,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",Whats Poppin
43,Kelsea Ballerini,Hole In The Bottle
44,BTS,Dynamite
45,Pooh Shiesty Featuring Lil Durk,Back In Blood
46,Sam Smith,Diamonds
47,Jawsh 685 x Jason Derulo,Savage Love (Laxed - Siren Beat)
48,Saweetie Featuring Doja Cat,Best Friend
49,Cardi B Featuring Megan Thee Stallion,WAP
50,Megan Thee Stallion Featuring DaBaby,Cry Baby
51,The Kid LAROI,Without You
52,H.E.R.,Damage
53,BRS Kash,Throat Baby (Go Baby)
54,DaBaby,Masterpiece
55,Russell Dickerson,Love You Like I Used To
56,Kenny Chesney,Happy Does
57,Saweetie Featuring Jhene Aiko,Back To The Streets
58,Lil Nas X,Holiday
59,Thomas Rhett,What's Your Country Song
60,Ritt Momney,Put Your Records On
61,Lady A,Champagne Night
62,Lil Durk & King Von,Still Trappin'
63,Darius Rucker,Beers And Sunshine
64,Luke Combs,Forever After All
65,Morgan Wallen,Still Goin Down
66,Shawn Mendes & Justin Bieber,Monster
67,Chris Lane,"Big, Big Plans"
68,Jack Harlow,Tyler Herro
69,Luke Bryan,Down To One
70,Morgan Wallen,Cover Me Up
71,Morgan Wallen,Warning
72,Parmalee x Blanco Brown,Just The Way
73,Morgan Wallen,865
74,21 Savage & Metro Boomin Featuring Drake,Mr. Right Now
75,Tim McGraw & Tyler Hubbard,Undivided
76,All Time Low Featuring Demi Lovato & blackbear ,Monsters
77,Jason Derulo,Take You Dancing
78,Miley Cyrus Featuring Dua Lipa,Prisoner
79,Florida Georgia Line,Long Live
80,Gabby Barrett,The Good Ones
81,Harry Styles,Golden
82,Erica Banks,Buss It
83,SpotemGottem,Beat Box
84,Travis Scott & HVME,Goosebumps
85,SZA Featuring Ty Dolla $ign,Hit Different
86,The Kid LAROI,So Done
87,Karol G,Bichota
88,DDG,Moonwalking In Calabasas
89,Popp Hunna,Adderall (Corvette Corvette)
90,Black Eyed Peas X Shakira,Girl Like Me
91,Selena Gomez,De Una Vez
92,Dustin Lynch,Momma's House
93,Ant Clemons Featuring Justin Timberlake,Better Days
94,Brett Young,Lady
95,Future & Lil Uzi Vert,Drankin N Smokin
96,Tenille Arts,Somebody Like That
97,Keith Urban Duet With P!nk,One Too Many
98,Eric Church,Hell Of A View
99,Morgan Wallen,Dangerous
